"Program","URL","SEO","AEO","GEO","Căutare tradițională","Vizibilitate","Accesibilitate","CTA","CTR","Cuvinte","Probleme/oportunități"
"Programul Regional Nord-Est","/por-adr-nord-est","100","70","100","100","100","100","53","85","1666","lipsește răspunsul AEO direct; CTA fără program_slug; disclaimerul de rezultat poate fi întărit; rută consolidată prin redirect către /investitii-modernizarea-microintreprinderilor-apel-2"
"Fonduri regionale","/fonduri-regionale","94","70","100","94","100","100","8","85","455","lipsește răspunsul AEO direct; CTA fără program_slug; CTA fără tracking; disclaimerul de rezultat poate fi întărit; conținut subțire (455 cuvinte)"
"DR12 AFIR","/dr12-afir","100","80","100","100","100","100","100","100","725","FAQ schema absentă"
"DR14 AFIR","/dr14","100","100","100","100","100","100","100","100","2477","fără problemă detectată automat"
"Start-Up Nation","/start-up-nation-2026","100","70","100","100","100","100","100","88","1226","lipsește răspunsul AEO direct"
"Femeia Antreprenor","/femeia-antreprenor-2026","100","70","100","100","100","100","88","88","2065","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"Digitalizare IMM","/digitalizare-imm","94","38","100","94","80","100","88","100","313","lipsește răspunsul AEO direct; FAQ schema absentă; disclaimerul de rezultat poate fi întărit; conținut subțire (313 cuvinte)"
"Modernizarea microîntreprinderilor – Apel 2","/investitii-modernizarea-microintreprinderilor-apel-2","100","70","100","100","100","100","100","100","1667","lipsește răspunsul AEO direct"
"Fondul pentru Modernizare – autoconsum","/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum","100","70","100","100","100","100","88","88","1775","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"Fondul pentru Modernizare – energie regenerabilă","/fondul-modernizare-energie-regenerabila-2026","100","70","100","100","100","100","88","88","1128","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"AFIR Autoconsum Agroalimentar","/afir-autoconsum-agroalimentar","100","70","100","100","100","100","100","100","2076","lipsește răspunsul AEO direct"
"Autoconsum instituții publice","/autoconsum-public-fotovoltaice-institutii-publice","100","70","100","100","100","100","88","88","1689","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"PRO INFRA","/pro-infra","94","38","100","94","80","100","88","100","329","lipsește răspunsul AEO direct; FAQ schema absentă; disclaimerul de rezultat poate fi întărit; conținut subțire (329 cuvinte)"
"Apeluri GAL","/apeluri-gal","100","70","100","100","100","100","88","88","1988","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"GAL-AFIR / LEADER","/gal-afir","100","70","100","100","100","100","88","88","1559","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"e-MOVE RO","/e-move","100","70","100","100","100","100","88","100","1622","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"PoCIDIF 2.1","/pocidif-21","100","70","100","100","100","100","88","100","2893","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"Diaspora Investește Acasă","/diaspora-investeste-acasa","100","70","100","100","100","100","88","88","870","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"e-DRIVE","/e-drive","100","70","100","100","100","100","88","88","888","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"e-Mobility RO","/e-mobility","100","70","100","100","100","100","88","88","838","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
"PC1 Stocare stand-alone","/fondul-modernizare-pc1-stocare","100","70","100","100","100","100","88","100","875","lipsește răspunsul AEO direct; disclaimerul de rezultat poate fi întărit"
