source_path,canonical_path,http_status,action,in_sitemap,indexability,internal_links_to_source,reason
/,/,200,keep,yes,"index, follow",312,URL self-canonical din sitemap
/:section/:category/:slug.html,https://atelierdeconsultanta.ro/:section/:category/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/:section/:category/:slug/,https://atelierdeconsultanta.ro/:section/:category/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/:section/:category/:slug/index.html,https://atelierdeconsultanta.ro/:section/:category/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/:section/:slug.html,https://atelierdeconsultanta.ro/:section/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/:section/:slug/,https://atelierdeconsultanta.ro/:section/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/:section/:slug/index.html,https://atelierdeconsultanta.ro/:section/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/:slug.html,https://atelierdeconsultanta.ro/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/:slug/,https://atelierdeconsultanta.ro/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/:slug/index.html,https://atelierdeconsultanta.ro/:slug,301,normalize,no,not applicable,0,Regulă globală de normalizare URL
/acte-necesare-fonduri-europene-nerambursabile,/acte-necesare-fonduri-europene-nerambursabile,200,keep,yes,"index, follow",9,URL self-canonical din sitemap
/afir,/afir,200,keep,yes,"index, follow",21,URL self-canonical din sitemap
/afir-autoconsum-agroalimentar,/afir-autoconsum-agroalimentar,200,keep,yes,"index, follow",380,URL self-canonical din sitemap
/afir-autoconsum-agroalimentar.html,/afir-autoconsum-agroalimentar,301,redirect,no,not applicable,0,Normalizare URL legacy AFIR Autoconsum
/afir-autoconsum-agroalimentar/index.html,/afir-autoconsum-agroalimentar,301,redirect,no,not applicable,0,Normalizare URL legacy AFIR Autoconsum
/apeluri-gal,/apeluri-gal,200,keep,yes,"index, follow",4,URL self-canonical din sitemap
/autoconsum-public-fotovoltaice-institutii-publice,/autoconsum-public-fotovoltaice-institutii-publice,200,keep,yes,"index, follow",360,URL self-canonical din sitemap
/autoconsum-publici,/autoconsum-public-fotovoltaice-institutii-publice,301,redirect,no,not applicable,0,Alias legacy consolidat
/autoconsum-publici.html,/autoconsum-public-fotovoltaice-institutii-publice,301,redirect,no,not applicable,0,Alias legacy consolidat
/autoconsum-publici/,/autoconsum-public-fotovoltaice-institutii-publice,301,redirect,no,not applicable,0,Alias legacy consolidat
/blog,/blog,200,keep,yes,"index, follow",381,URL self-canonical din sitemap
/blog-afir-fotovoltaice-ferme-2026,/blog-afir-fotovoltaice-ferme-2026,200,keep,yes,"index, follow",1,URL self-canonical din sitemap
/blog/safir-fotovoltaice-ferme-2026,/blog-afir-fotovoltaice-ferme-2026,301,redirect,no,not applicable,0,Alias legacy consolidat
/blog/safir-fotovoltaice-ferme-2026.html,/blog-afir-fotovoltaice-ferme-2026,301,redirect,no,not applicable,0,Alias legacy consolidat
/blog/safir-fotovoltaice-ferme-2026/,/blog-afir-fotovoltaice-ferme-2026,301,redirect,no,not applicable,0,Alias legacy consolidat
/calculator-so-afir,/calculator-soc,301,redirect,no,not applicable,0,Alias legacy consolidat
/calculator-so-afir.html,/calculator-soc,301,redirect,no,not applicable,0,Alias legacy consolidat
/calculator-so-afir/,/calculator-soc,301,redirect,no,not applicable,0,Alias legacy consolidat
/calculator-so-afir/index.html,/calculator-soc,301,redirect,no,not applicable,0,Alias legacy consolidat
/calculator-soc,/calculator-soc,200,keep,yes,"index, follow",375,URL self-canonical din sitemap
/calendar-fonduri-europene,/calendar-fonduri-europene,200,keep,yes,"index, follow",25,URL self-canonical din sitemap
/cand-merita-consultant-fonduri-europene,/cand-merita-consultant-fonduri-europene,200,keep,yes,"index, follow",1,URL self-canonical din sitemap
/cat-costa-consultanta-fonduri-europene,/cat-costa-consultanta-fonduri-europene,200,keep,yes,"index, follow",4,URL self-canonical din sitemap
/cat-costa-consultanta-fonduri-europene-ghid,/cat-costa-consultanta-fonduri-europene-ghid,200,keep,yes,"index, follow",1,URL self-canonical din sitemap
/ce-acte-sunt-necesare-fonduri-europene,/ce-acte-sunt-necesare-fonduri-europene,200,keep,yes,"index, follow",1,URL self-canonical din sitemap
/cheltuieli-eligibile-digitalizare-imm,/cheltuieli-eligibile-digitalizare-imm,200,keep,yes,"index, follow",5,URL self-canonical din sitemap
/cheltuieli-eligibile-pocidif-21,/cheltuieli-eligibile-pocidif-21,200,keep,yes,"index, follow",5,URL self-canonical din sitemap
/cheltuieli-eligibile-startup-nation,/start-up-nation-2026-cheltuieli-eligibile,301,redirect,no,not applicable,0,Alias legacy consolidat
/cheltuieli-eligibile-startup-nation.html,/start-up-nation-2026-cheltuieli-eligibile,301,redirect,no,not applicable,0,Alias legacy consolidat
/cheltuieli-eligibile-startup-nation/,/start-up-nation-2026-cheltuieli-eligibile,301,redirect,no,not applicable,0,Alias legacy consolidat
/cheltuieli-eligibile-startup-nation/index.html,/start-up-nation-2026-cheltuieli-eligibile,301,redirect,no,not applicable,0,Alias legacy consolidat
/cod-caen-start-up-nation-2026,/cod-caen-start-up-nation-2026,200,keep,yes,"index, follow",13,URL self-canonical din sitemap
/cod-caen-startup-nation,/cod-caen-start-up-nation-2026,301,redirect,no,not applicable,0,Alias legacy consolidat
/cod-caen-startup-nation.html,/cod-caen-start-up-nation-2026,301,redirect,no,not applicable,0,Alias legacy consolidat
