"URL raportat de GSC","statut local","statut live","lant de redirect","URL final","canonical declarat","meta robots","X-Robots-Tag","prezent in sitemap","numar linkuri interne catre URL","intentie","actiunea aplicata","rezultatul final"
"https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026/","200 after 1 redirect(s)","200 after 1 redirect(s)","https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026/ -> https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026 [301] | https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026 [200]","https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026","https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026","index, follow","","yes","0","alias cu redirect","Pastrat 301 direct catre URL-ul canonic; alias exclus din sitemap si din linkurile interne normale.","PASS_REDIRECT_TO_CANONICAL"
"https://atelierdeconsultanta.ro/firma-consultanta-fonduri-europene/","200 after 1 redirect(s)","200 after 1 redirect(s)","https://atelierdeconsultanta.ro/firma-consultanta-fonduri-europene/ -> https://atelierdeconsultanta.ro/firma-consultanta-fonduri-europene [301] | https://atelierdeconsultanta.ro/firma-consultanta-fonduri-europene [200]","https://atelierdeconsultanta.ro/firma-consultanta-fonduri-europene","https://atelierdeconsultanta.ro/firma-consultanta-fonduri-europene","index, follow","","yes","0","alias cu redirect","Pastrat 301 direct catre URL-ul canonic; alias exclus din sitemap si din linkurile interne normale.","PASS_REDIRECT_TO_CANONICAL"
"https://atelierdeconsultanta.ro/consultanta-start-up-nation/","200 after 1 redirect(s)","200 after 1 redirect(s)","https://atelierdeconsultanta.ro/consultanta-start-up-nation/ -> https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026 [301] | https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026 [200]","https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026","https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026","index, follow","","yes","0","alias cu redirect","Pastrat 301 direct catre URL-ul canonic; alias exclus din sitemap si din linkurile interne normale.","PASS_REDIRECT_TO_CANONICAL"
"https://atelierdeconsultanta.ro/fonduri-europene-imm/","200 after 1 redirect(s)","200 after 1 redirect(s)","https://atelierdeconsultanta.ro/fonduri-europene-imm/ -> https://atelierdeconsultanta.ro/fonduri-europene-imm [301] | https://atelierdeconsultanta.ro/fonduri-europene-imm [200]","https://atelierdeconsultanta.ro/fonduri-europene-imm","https://atelierdeconsultanta.ro/fonduri-europene-imm","index, follow","","yes","0","alias cu redirect","Pastrat 301 direct catre URL-ul canonic; alias exclus din sitemap si din linkurile interne normale.","PASS_REDIRECT_TO_CANONICAL"
"https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026.html","200 after 1 redirect(s)","200 after 1 redirect(s)","https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026.html -> https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026 [301] | https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026 [200]","https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026","https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026","index, follow","","yes","0","alias cu redirect","Pastrat 301 direct catre URL-ul canonic; alias exclus din sitemap si din linkurile interne normale.","PASS_REDIRECT_TO_CANONICAL"
"https://atelierdeconsultanta.ro/fonduri-europene/","200 after 1 redirect(s)","200 after 1 redirect(s)","https://atelierdeconsultanta.ro/fonduri-europene/ -> https://atelierdeconsultanta.ro/fonduri-europene [301] | https://atelierdeconsultanta.ro/fonduri-europene [200]","https://atelierdeconsultanta.ro/fonduri-europene","https://atelierdeconsultanta.ro/fonduri-europene","index, follow","","yes","0","alias cu redirect","Pastrat 301 direct catre URL-ul canonic; alias exclus din sitemap si din linkurile interne normale.","PASS_REDIRECT_TO_CANONICAL"
"http://atelierdeconsultanta.ro/politica-de-confidentialitate.html","200 after 2 redirect(s)","200 after 1 redirect(s)","http://atelierdeconsultanta.ro/politica-de-confidentialitate.html -> https://atelierdeconsultanta.ro/politica-de-confidentialitate.html [301] | https://atelierdeconsultanta.ro/politica-de-confidentialitate.html -> https://atelierdeconsultanta.ro/politica-de-confidentialitate [301] | https://atelierdeconsultanta.ro/politica-de-confidentialitate [200]","https://atelierdeconsultanta.ro/politica-de-confidentialitate","https://atelierdeconsultanta.ro/politica-de-confidentialitate","index, follow","","yes","0","alias cu redirect","Pastrat 301 direct catre URL-ul canonic; alias exclus din sitemap si din linkurile interne normale.","PASS_REDIRECT_TO_CANONICAL"
"http://atelierdeconsultanta.ro/","200 after 1 redirect(s)","200 direct","http://atelierdeconsultanta.ro/ -> https://atelierdeconsultanta.ro/ [301] | https://atelierdeconsultanta.ro/ [200]","https://atelierdeconsultanta.ro/","https://atelierdeconsultanta.ro/","index, follow","","yes","1399","alias cu redirect","Pastrat 301 direct catre URL-ul canonic; alias exclus din sitemap si din linkurile interne normale.","PASS_REDIRECT_TO_CANONICAL"
"https://atelierdeconsultanta.ro/fonduri-europene-bucuresti","200 direct","200 direct","https://atelierdeconsultanta.ro/fonduri-europene-bucuresti [200]","https://atelierdeconsultanta.ro/fonduri-europene-bucuresti","https://atelierdeconsultanta.ro/fonduri-europene-bucuresti","index, follow","","yes","9","pagina canonica indexabila","Confirmat 200 direct, self-canonical, indexabil si prezent in sitemap cand este pagina HTML.","PASS_CANONICAL_200"
"https://atelierdeconsultanta.ro/consultanta-fonduri-europene-bucuresti","200 direct","200 direct","https://atelierdeconsultanta.ro/consultanta-fonduri-europene-bucuresti [200]","https://atelierdeconsultanta.ro/consultanta-fonduri-europene-bucuresti","https://atelierdeconsultanta.ro/consultanta-fonduri-europene-bucuresti","index, follow","","yes","9","pagina canonica indexabila","Confirmat 200 direct, self-canonical, indexabil si prezent in sitemap cand este pagina HTML.","PASS_CANONICAL_200"
