"source_export","date_filter","date_start","date_end","page","clicks","impressions","ctr_percent","position","position_6_12","legacy_html"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/calculator-soc","32","3779","0.85","7.94","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/femeia-antreprenor-2026","40","1717","2.33","8.21","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/calculator-soc.html","29","1017","2.85","7","true","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr12-afir","32","1008","3.17","8.1","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr14","27","734","3.68","7.76","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/gal-afir","0","557","0","5.93","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2","9","434","2.07","6.76","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/","24","433","5.54","10.85","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr14.html","7","406","1.72","9.1","true","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/start-up-nation-2026","3","356","0.84","13.08","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/digitalizare-imm","1","248","0.4","28.87","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile","3","217","1.38","7.06","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr-14-afir-conditii-eligibilitate-greseli-frecvente","3","214","1.4","9.94","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fondul-modernizare-energie-regenerabila-2026","2","212","0.94","7.22","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/femeia-antreprenor-2026-conditii-idei-afaceri","7","205","3.41","14.36","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/e-move","11","197","5.58","7.33","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/pro-infra","7","190","3.68","12.39","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-nerambursabile","0","185","0","37.63","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/start-up-nation-2026.html","4","166","2.41","10.73","true","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/pnrr-digitalizare-imm-cheltuieli-eligibile","4","164","2.44","12.42","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/por-adr-nord-est","4","157","2.55","7.24","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/por-adr-nord-est.html","0","149","0","6.69","true","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cod-caen-start-up-nation-2026","1","134","0.75","7.13","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/blog","2","115","1.74","7","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/consultanta-fonduri-europene","0","111","0","6.41","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/start-up-nation-2026-idei-afaceri","9","107","8.41","17.65","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr12-afir.html","2","102","1.96","6.36","true","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile.html","2","98","2.04","7.5","true","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/afir","0","93","0","9.38","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fondul-de-modernizare","1","90","1.11","12.52","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene","0","87","0","7.17","true","false"
