"source_export","date_filter","date_start","date_end","query","clicks","impressions","ctr_percent","position"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","calcul so afir 2026","9","219","4.11","6.96"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","calculator so","7","177","3.95","7.14"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","femeia antreprenor 2026","9","162","5.56","11.39"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","dr 12 afir lansare","8","143","5.59","7.5"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","femeia antreprenor 2026 inscriere","0","131","0","9.08"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","calculator so afir","1","88","1.14","8.42"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","femeia antreprenor 2026 eligibilitate","4","79","5.06","6.77"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","calculator so animale","1","77","1.3","7.29"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","programul femeia antreprenor 2026","0","58","0","10.9"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","calcul so","0","52","0","8.58"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","calculator so vegetal 2026","2","52","3.85","6.56"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","cand incepe programul femeia antreprenor 2026","0","50","0","9.54"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","femeia antreprenor 2026 conditii","1","46","2.17","9.37"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","calculator so vegetal","0","39","0","8.26"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","fonduri europene nerambursabile 2026 pentru femei","2","38","5.26","9.26"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","calcul so afir","0","37","0","9.46"
